name,language,city,url
ADVANCE Continuing Education,English,Burnaby,https://www.foodsafe-courses.com/foodsafe-level-1/
Advanced Learning Centre,English,Surrey,https://alcbc.ca/product-category/foodsafe/
Alert First Aid Inc.,English,Victoria,https://www.alertfirstaid.com/courses/first-aid-courses/food-safe-level-1
Ashley's FoodSafe Training,English,Chilliwack,ashley.foodsafe@gmail.com
Brar Career Training Institute,English,Surrey,jbrar.01@gmail.com
Chinese Christian Mission,English,Burnaby,https://community.ccmcanada.org/foodsafe1-van-ch
FOODSAFE Korea,English,Burnaby,http://www.foodsafekorea.com/
foodsafecory,English,Terrace,foodsafecory@outlook.com
Fraser Health - Burnaby,English,Burnaby,HPBurnaby@fraserhealth.ca
Fraser Health - Surrey Health Protection,English,Surrey,foodsafe@fraserhealth.ca
GPS Gaetane Palardy Solutions,English,Courtenay,https://anc.ca.apm.activecommunities.com/courtenayrecreation/activity/search/detail/11890?onlineSiteId=0&from_original_cui=true
Health Educational Services,English,n/a,foodsafe.level.one@gmail.com
Interior Training Services,English,Kelowna,info@interiortrainingservices.com
IWA CONSULTING AND INVESTMENT SERVICES,English,Surrey,iwalolabadewa@yahoo.ca
Kathryn Sharples,English,Kamloops,k-e@shaw.ca
Kathy Russell, B.Sc. (Agr),English,Merritt,kathy-russell@telus.net
Kuzina Messer Culinaire,English,Kamloops,https://www.kuzinamesserculinaire.ca/foodsafe
Mainland Safety Training Company,English,Chilliwack,https://mainlandsafety.ca/courses/foodsafe-level-1/
Prosafe Training,English,Abbotsford,https://www.prosafetraining.ca/foodsafe-level-1/
Sheri Bryson,English,Lillooet,wolfpax111@hotmail.com
Super Study Learning Center,English,Surrey,http://superstudy.ca/
Thompson Rivers University,English,Williams Lake,https://www.tru.ca/regionalcentres/register.html
Valley First Aid Training,English,Langley,https://valleyfirstaidtraining.ca/
